meta,id,tweet,sentiment,emotion
meta,40382,mp sahab dr manoj rajoriya g jeet haardik subhkamnay,positive,joy
meta,27897,nahi ghum k maar murder rape fuck shred bite hum,negative,fear
meta,35758,back 100 karat chop cold quicklyfeel good feel good waaaaag,positive,joy
meta,38461,sadji bheja h apk liy,neutral,others
meta,32467,gadkari sir badhai sir agra meyar smjhao kare modiji raj ramraj,positive,joy
meta,33309,thi paint ha 40 famou indian ad hide it1 tne favourit symbol ad spot 2 anyon k,neutral,others
meta,10989,fckn pist lose damn ysl shade,negative,sadness
meta,18753,give araki lot credit detail work goe make charact,positive,others
meta,25483,modi ji rahega lekin pehl ram mandir banawao dhara 370 hatao hindurastra ghosit karwao logo,positive,others
meta,13396,pagol kuut samn roti dalna sahi nahi yeh sholay thakur saab bolk gey logbog 50 saal p,positive,others
meta,7897,im proud love homi,positive,joy
meta,26915,muslim muslim muslim musalmaano unki khudki izzat desh hone naslo,negative,sadness
meta,8238,hadd kamin pan aapko pata kev jail gaya bina order railway platform pa,negative,anger
meta,28701,vishwa u guy want modiji u dont want even god come tel,negative,others
meta,40128,parti candid nahi dekh hoge ba modi jitana hey vote diy,neutral,others
meta,14505,nhi g ap trha nhi ptwari olad pakistani pakistan sy pyar krtyh,positive,joy
meta,22273,kabhi nahi sudhrog fact check fir bat chutiy,negative,anger
meta,35558,jai shri ram haz turn vand mataram day,neutral,joy
meta,8199,best wish world cup eid mubarak muzaffar hasan nation gener secretari ljp,neutral,joy
meta,2144,aarthik madad nahi wo pakistan aawam hak thaaur yeh rss propoganda public apn pa rakho,neutral,others
meta,23844,kaafi dushman nahin wafadari daawa kyun karen think someth,neutral,others
meta,8910,actual ink pass naaz karn liy bacha nahi haqikat pasand ban,negative,sadness
meta,33576,one tryna find perfect watermelon,neutral,others
meta,28206,match zaror dekhna dukh phr jhalna khel talent na parchiyo baserra,neutral,others
meta,32666,sort like caus love pomeranian pictur chew toy litt,positive,joy
meta,26044,awwwi thank laugood morn,positive,joy
meta,19034,mean problem wa democrat vivek katori attent bheek mang rahe usp khoon laga,negative,others
meta,13152,greet dearest friend shri ji birthday maa aashapura bless lot love happ,positive,joy
meta,17992,wonda thi month ramadan posit heart desir prayer famili friend grantedinsha allah,positive,joy
meta,23129,marwaadi roshan oye roshan meh jcb khudai dekh k aaya roshan,neutral,others
meta,15581,,neutral,others
meta,8604,spotter sirf pauranik kathaon payi jaati thi vaastavikta iska sambandh nahi,neutral,others
meta,20097,bjp leader vishwa sarang bhopal tabaadla udyog congress sarkar phal raha vidhayak vyapar kendrabindu h,neutral,sadness
meta,5225,apni indian fikkar karo pakistan hum dykh lyngymukti bahini 2 nahi ban,neutral,others
meta,31039,sarkar jiski bunyaad pe tiki h wo aaj apnemukaam pe pahunch gayi laghusanka deri h fir,positive,others
meta,41953,alvida jumma2019 mubarak duwa guzarish,positive,joy
meta,43996,sir modi name pr vot pada h ap kabhi ao yamuna nagar rajiv garden bank caloni dekho logo,neutral,others
meta,18866,jyda gyan na pelo democraci majak udana band kro thoda dete baat bolt thi,positive,anger
meta,28950,khan bhai ankush khush raho ill pray u coz know nafrat kabhi,positive,joy
meta,36545,thi much sare tweet arsal support jiya man nhi wo chai nhi bana sakti yasit liy,neutral,sadness
meta,2745,jaaz saab salo saal pend case soultion maza nahi aata inko public pais monthli case miljay,negative,sadness
meta,38245,secretofposit papaji dhan dhan satguru tera aasra good morn ji mugj tu,positive,joy
meta,31302,bachi piec maal rehmat,neutral,disgust
meta,11709,mat kaho dil nahi wese shakal mjhe pata nahi aesa kch matter nahi krta,neutral,others
meta,20225,thx everi singl memer make day u guy amaz jcb jindabaad jcbkikudhayi jcbkikhudaai,positive,joy
meta,34859,nonstop hoga entertain kaun dega perform sabs best watch srgmplilchamp satsun 9 pm,neutral,others
meta,42434,fir atankwadi jaat musalman q hoti readi musalman h woh yeh baat q,negative,sadness
meta,23986,hume yun bhula na paog,neutral,others
meta,37553,soul toni stark dil toh leke ghum rha,positive,joy
meta,4443,gund saal ac hall baith k mt bhonk yogendrayadav aukat h gurgaon k bnde c,negative,anger
meta,37414,bengal bjp mei tmc galat neta apn app bachan jogdan rahe iss parti support barn baj,neutral,others
meta,26700,actual ars liverpool win good themth premier leagu joke still stand alreadi,positive,others
meta,19318,happi birthday pretti girl thank u good agn memoriescard soon hahahahaha enjoy day,positive,joy
meta,19685,jan sharam haya qimat lagwai liay kute seat miliy har haqomat k talway chatni wala,negative,disgust
meta,16219,sir life sapna kabh din mulakaat kerna log netaaon k fan mai,neutral,others
meta,14905,thank dear shahrukh love en,positive,joy
meta,13262,bhai shariyath tho pahel india may sirf muslim liyah rahegi inshallah,positive,joy
meta,33719,bharatthiseid bharat loveusalman superb look veri handsom,positive,joy
meta,30635,bohat pakhtono pashtunistaan nasha charha howa aj kal hosh jao wrna sach mar parh gi bar,negative,anger
meta,26753,dhup aarti shri sai baba mandir shirdi 31 may 2019 baba bless happi world om sai ram,positive,joy
meta,9677,amit shah ji pleas jet airway employe bare kariy parivar wale bahut pareshan bhukh mar rahe,positive,sadness
meta,20043,abroad properti rakh kr chhupan wal respectful aqam panama harami waseem abbasi,negative,anger
meta,27049,respect rahul sir dont disappoint u great leader soch,positive,others
meta,19215,watch bet perf choreo kinda sexi fit shihyun much,positive,joy
meta,4647,jay bajrang bali,positive,joy
meta,41076,good wala sahi h thora bt bad last ajib h,neutral,others
meta,4034,haramzad hamar tukdo pe palta hamein aakh dikhata kutt tu pagal gaya,negative,anger
meta,25360,haay entri toh aisi herowalientri best part today episod shaheersheikh yehrishteyhainpyaar,positive,joy
meta,33442,ssidhu ind ins na payega,negative,others
meta,24139,12 year old declar record watch badshah tv50 timesclaim biggest fansh,neutral,others
meta,18846,nahi mut sorri health depart sare hospit band karo pehl dhar gaumutra bimari,negative,sadness
meta,29030,priyanka prakash modi dada poti uns kehna chahti hun baar dada v sapat le dahej,positive,others
meta,22594,easi make easi love u bhaji hanji kida lagi movi chandigarhamritsarchandigarh jina ny nh,positive,joy
meta,12417,sir elect gali nai de rhe govt employe gali de rhe elect krata,neutral,others
meta,31335,tu bahut pitega ak din chutiy sale teri himmat kais hui voter idiot boln abe ujd,negative,anger
meta,39578,pmo good morn modi ji binti hum log facbook pe unk liy din raat lage rahe modi ji k,neutral,others
meta,36320,salman khan best fight scene movi see instagram photo,positive,others
meta,14490,mderchod bharty sainik likhta h hrami aulad hindu hogya bs desh bhakt gaya gali teri may,negative,anger
meta,7639,shatram arey meri didi depress gyi bechari chlo 5 din band hoga tweet kuki mjh,neutral,others
meta,37806,chalo goiz 1000 follow hogy mujhi unfollow mt krna warna allah pochi ga logo muslmano jisko follow ba,neutral,others
meta,27128,googl best friend sick beli wali haiiiiiii,neutral,others
meta,18904,narendra damodar modi ji best vadnagar kamalka banshiwala shubh apka e jatra,positive,joy
meta,1681,talent thank god creat perfect gener person pray b,neutral,joy
meta,28730,sach keh raha deewana dil dil na laganajhooth pyaar waad sare jhoothi pyaar kasm,neutral,others
meta,1936,odisha thank sir umid ahi jai jagannath swami,neutral,others
meta,10559,pubg ni khelta tiktok use ni krta suta ni lagata girlz dm ni krta thi societi accept,neutral,others
meta,15663,namaskar sir jimer requst lakhnpur satwari chowk street light,positive,others
meta,22673,bjp nahi woh atankwadi h aour hindu rss nahi woh deshdrohi aaj kal b,negative,sadness
meta,17068,sabdo marham gahra jakham dur nahi hogain bacho bachiyo bhavbhini sardhanjali pari,positive,others
meta,16439,im sorri cant say tailor ny eid kapr kharab diy,neutral,others
meta,24809,soch h logo ghatiya gareebo mar rah,negative,disgust
meta,12827,modi ji e jisk paa zameen haius kisan samman nidhi yojna diya 6000 salana dene,neutral,others
meta,6161,thank much dato inshallah celebr 6th star tonight ynwa,neutral,joy
meta,20134,london join us tomorrow open night new exhibit network knowledg showcas institut librari,neutral,others
meta,18960,chutiya hoo gandu cogress harn wali thi sub pata itn buti tarah haarnegi nahi pata lavd,negative,sadness
meta,2018,arey bhau iss bar budget kaam na lonavla direct goregaon filmciti set laga,positive,joy
meta,42965,manniya goyal ji avdhesh dubi jail dal diya kripya traino tte nd polic loot,negative,others
meta,21441,sauru get intend joke funnynot sens humour anyway crazi kid,neutral,others
meta,32574,ah thi cute love two,neutral,joy
meta,617,jai shree ram mamtaji pranam see mukhya mantri bank aashirwad jai shree ram,neutral,others
meta,20345,abhi voic kir proud im love modi ji final make digit india,positive,joy
meta,39591,baten khtam ni hoti baat ni hoti wali journey less hurt ask leav reason,neutral,others
meta,7613,hello kaun ident side west bengal countri,negative,anger
meta,38713,pramod acharya padvi digadh acharya nahi bol saktetumko kissa mal,negative,disgust
meta,35265,bhai ajay good last movi point take great,positive,others
meta,15010,sir meri wife 1hafta gya hospit chakker lagat abi tk doctor medisen nhi di,neutral,sadness
meta,34399,kutti harami namak haramii gooo back afgan,negative,anger
meta,266,mp govt kamalnath h wese video viral h jism aapk shantidut bhai dukandar,negative,others
meta,16713,besharam kitna baar tappad kayega tumara anti nation hindu muslim dukan bhand hogaya bunt,negative,disgust
meta,28907,fake videoandh bhakt forc circul increas popular rate,negative,others
meta,22798,love smell air back home dharan,positive,joy
meta,26042,hell yeah doe thi mean pepsi vanilla come back miss much,neutral,others
meta,36095,digwijay ji ais chunaw harn tension tension de gya sant wo,neutral,others
meta,23804,happi happybirthdaysonakshisinha,positive,joy
meta,14239,airport vimlesh ji yeh vada nahi nibha rahepehl kaha u purchas ani land stamp dut,negative,sadness
meta,21196,hamari raksha bhagvan sakta q jahan system sarkar aaropiyon bacha rah,neutral,fear
meta,34663,congratul honprim minist victoryw want ur back n final ur back prachand bhumat,positive,joy
meta,29280,iska toh video audio dekhna nahi bewakoof aadmi,negative,anger
meta,31391,wtf pretti eye eye fuck eyesthi video actual annoy imagin ignor shit,negative,anger
meta,37666,12 din baad iqbal k shaheeno advanc eid msg send krne dhora jna,neutral,others
meta,14014,apni taraf aan wali takleefon apn gunahon saza mat samjhna allah bohat mehrban wo badl nahi l,positive,others
meta,40785,bc light kat di abhi toh shuru nahi hua match uclfin delhi upar garmi alag maar rakhi,negative,sadness
meta,20844,rahul gandhi chowkidar chor nara bhut bhari pad gya kuki wo bail,neutral,others
meta,24005,stuff salman fuck chindiwaali filmfar best luck mote bhain,negative,anger
meta,39372,sajish sakti bahut badi ise halk na le sarkar sena dono kyu bola usn aisa isko gira,neutral,others
meta,23837,one better srk charm person swag yessa hero jiski villain role sbse jayda popular hoti,positive,joy
meta,23830,sir oonki aadat may shumaar hbycot media deshwas pata chalegaki gandi naali k,negative,others
meta,42705,kyu mamatabanrje us ravan tarah apn ap bhagwan samjhn lgi ais logo k,negative,anger
meta,39643,waqi boht bra haraami nahi bul k waldo zinaa paidawaar teri maan tangg th,negative,anger
meta,10743,congratul hounarbl prime minist shri narendar damod dass modi ji hum sabi bharat wasi yahi kaman,positive,joy
meta,38950,give free place ill oper offici weatherman day behalf haha,neutral,others
meta,12785,kesi log ap yr log tumh pakistan mustakbil keh rhi usi mulk bando galiya gy shame yrr,negative,disgust
meta,17244,agar kisika naam entertain kark pet bharta h usm burai nahi h bohot sare com,neutral,others
meta,29990,rail mantri ji tatkal wl ticket per charg 75 kyu lagta sarkari loot band honi chayiy,negative,sadness
meta,25861,wey madr neta ni siquiera lo intent,negative,others
meta,33081,gaze movi bnay gi modi love dolli class fifth kahaani,neutral,others
meta,16812,grad walk kid veri excit see sam yeto graduat senior,neutral,joy
meta,15664,possibl situatiin dkhne baad nd saari logic chz result jaannn baad aisa hona cha,neutral,others
meta,30624,ordin tear karna dictatorship thihaar maniy mahnat kark agay bde nahi pata nahi kya hoga,positive,others
meta,37106,work hard come back strongli allha ha plan inshallha rock best wish,positive,joy
meta,20437,p india shri narendra modi ji p banan bahut bahut badhai k k patel advoc faizabad mb 9838789347,positive,joy
meta,18938,nonsens pehl shrenu,negative,disgust
meta,24194,fake love wors real hate,neutral,others
meta,16052,starr gadho batao obama presid presid nahi usney badhai sandesh nahi bheje,neutral,anger
meta,22350,sir sirf apka news channel dekhta becaus apka channel alway sachi news dekhata,positive,others
meta,9187,samay samay baat rathe modiisnodivid timemagazin ispr kch boln himmat bc,neutral,others
meta,23489,faida nahi bhaiya yeh chutiy autom messag bhejt raheng,negative,disgust
meta,6838,sparkler mshoke mrskoistinen retir bless us sme thank,positive,surprise
meta,32635,tintin lindsay freak n geek love would die cool liter mind busin,neutral,joy
meta,25888,congress parti media balo dhamki dete thekhud govern,negative,others
meta,30450,mirza kyon matlab english zubaan dua kart unki dua qabool nahi hoti gayi allah un,negative,sadness
meta,22605,30000 jayada bjp fake whatsapp websit advertis heir kark rakh hut modi tujs ummid na thi,negative,disgust
meta,3570,satput awaaz ghai buy thi level,neutral,others
meta,41232,khan sb modi liay nahe bulaya k agar khan sb aajayeng tou indian media modi kochour kha,neutral,others
meta,13198,happi birthday pfluke wish good health khrab project come na life full bounti,positive,joy
meta,15967,desh mai karib 20 crore muzlim pure desh mai sirf 12 crore vote mile matlab wanha vo,neutral,others
meta,9323,best moment wa prithvi singh say launda seriou h total love,positive,joy
meta,10337,swear thi person fav walla noth without life realli grate sist,positive,joy
meta,9341,aapn kaam kiya iss inkar nhi sakta lekin aapko vote isliy nhi diya kyuki aapn itn galat decisi,positive,others
meta,45057,extra bigparang pagmamah sakanyahahaha ayieeeelov nay z zsazsapadilladiva2divaustour,positive,joy
meta,27797,thoda sa aukaat dekh lena chahiy tujhs nahi sakta bcfuc king,negative,anger
meta,8642,hume gurav shreeman pm modi ji jaisa es new hindsthan sath sa,neutral,joy
meta,9329,qanoon efitrat social system khuda n design kiya mard agay chalna wo dun,positive,others
meta,15582,taseer happi birthday shahe baba spread messag human great human,neutral,joy
meta,8206,dramebaaz yeah want poweranyway msg dhongi perfect,neutral,others
meta,3197,hahahaha allah aisey maulana sahab kaum hifazat farmaye mudd uthan nahi,positive,others
meta,19159,kutt k bach hee hram khoon zana aulad pakistan k topic pe kia debat,negative,anger
meta,1132,sonu bjp 15 ticket diy vote ni diya logo vote doge cong,negative,others
meta,20234,mowglu roney meri maa bahut khush thi roney meri maa bahut khush thi mai pa,positive,others
meta,38348,kabhi apn paiso saifai randi nachwa dete toh aisa nahi humesha sarkari maal udan,negative,anger
meta,25280,becaus eid around corneri cant wait buy pyari pyari choorian,neutral,joy
meta,24029,swaraj 1 apni bhasa pe sayam rakh,neutral,others
meta,591,btaegaiss pucho tere jiyn b mla usm gina hindu mla kaunsa teri muslim awaadi wale gaao,neutral,others
meta,16289,ladkiyan cigarett peeti hui kitni attract lagti h,neutral,others
meta,35703,chahy hisab allah pak kri ga inshaallah pehl think k shia peop,neutral,others
meta,25889,va thi spirit anjali vais iska hal dhobi kutta jaisi abhi kidar nahi rahe,positive,sadness
meta,18276,aaj time studi boht mehengi hoti ja rahi h agar studi mehengi jayengi hum jese logh padh nahi payeng,negative,sadness
meta,19112,ism kaha pata lag raha modirss k log matlab hindu musalman maar bjp rss,neutral,others
meta,27339,hahahaha funni caus true,neutral,joy
meta,13890,great see guy back,positive,joy
meta,2372,need major timeheh,neutral,others
meta,17808,rehn dijiy rubika ji bechara bada educ knowledg lagta h regard social media,neutral,others
meta,20315,tumhari samajh bahar chhez apn ghutno jyada jor mat dalo go kitchen,negative,others
meta,9555,lol modi interview haha dhokebaaz modi,negative,disgust
meta,19384,bjp 300 seat ane pr agl 7 din gst registr free jay maa bharati,positive,joy
meta,41535,e vm zindabad bjp defeat nahi de sakta chehe jitana bhrastachar karo murder polit sb jayaj,negative,others
meta,14182,ahhh thi nice may allah grant salah mane everyth next life ameen thi life allah strip th,positive,joy
meta,29827,jahalat nahi kiya hy masoom bachon adi horahi hy hiv vaba shakl akhtiar chu,neutral,disgust
meta,7703,bakwaaa much love friendship peopl forget,neutral,others
meta,20063,blockbust seri waat lagay ga iss bahubali 3 lelo usko flop karwa dega,neutral,others
meta,44779,sir log randi bharuaa kam nahi haiy sale harami log deshdrohi haimai galat word esiliy nikalta hui,negative,anger
meta,28270,teri g ku jalri h tujh mtlb katrina maha fuddu actress admit krle,negative,anger
meta,19200,two surat 100 employ two even mail resum mil jayegi aapko naukri,neutral,others
meta,2877,chootiya like keep increas bakchodi band,positive,disgust
meta,8940,two sindhi saan lene hawa nahi chura sakog fan duur baat,positive,others
meta,3438,sir kadi mehanat say mukaam pradesh desh mila pranaam aapko rajeev mishra maharaj bjp uttar pradesh,positive,joy
meta,14498,pakistan captain statement sach saabit rhi h pehla match buri tarah haar gyi shi kha sarfaraj,negative,fear
meta,577,u thing ppl u ador becaus u want toit transactionit give takeu becaus u su,neutral,others
meta,26081,tu khelna chodd dega hum dekhna chodd deng love uh infin msdyn365 dhoni thala,positive,others
meta,13240,bea isk zimmedar wo harami maulana algaowadi neta h apn bacchon foreign p,negative,anger
meta,39403,haram khor unlik ur leaderscertifi chor,negative,anger
meta,14078,uncl chutiya bnaya gya h video doctor h apk modi prem dekht hue aapko bheja gy,negative,others
meta,15839,welfarebydssvolunt walk path human show saint drgurmeet ram rahim singh ji insan dera,neutral,others
meta,30024,huyyyyyi yung crush sabi niya sakin wait pota felt harrrd,neutral,others
meta,19928,ia india aapki shahdat shit shit naman vand matram bharat mata ja,positive,others
meta,40753,chawal log intahai chawal log aati wo log 1992 wc baqwaa rahe logon,neutral,sadness
meta,22514,keseringan turun di el pozo jadinya barbar,neutral,others
meta,14628,kehn matra bench sthagit diya gaya fir mediat introduc diya sarvsah,neutral,others
meta,34236,asal nay khiyalat islam tou taleem musalman per farz taleem nahi hou,neutral,others
meta,25608,hat paaji bina dar hamesha sach saamn laat yahi dna,neutral,others
meta,12145,play yoosung rout cinnamon roll heaaarttttttt babi boy must proteccccccc,positive,joy
meta,4579,bharat favorit human bajrangi sultan salman khan film bharat 5th june dekhna na bhule,positive,joy
meta,15493,modiji dhanyawaad suresh prabhuji prarthana well pleas ignor thatthank sushma maam,neutral,surprise
meta,9239,one kind word chang someon entir day wait love n smile long,positive,others
meta,37566,agarw wa dure elect jais bjp elect jeeta prakat gaya aaltufaaltu,negative,surprise
meta,37829,fahad mustafa pure pakistan truck bati k pich lagadia phr awaam subhanallah milna kch,negative,others
meta,40240,sanskari bohot sanskari eat h fuck f ck likht hsoo sanskari,positive,others
meta,32512,merut jashn mnane pe jise mara gya mullo wo hindu delhi beti bchane,neutral,others
meta,39695,ayushmann bhai salut u ghajab h brave attempt,positive,joy
meta,30098,makind agebeeka wa good wa veri veri good mean level asha,positive,joy
meta,33854,mcx sharma ladkiyan effort nhi krti fir kehti whi singl mai voh launda toh hu nhi itni,neutral,others
meta,23264,find thi awesom record teri mohabbat pagal jaunga smule,neutral,joy
meta,26976,bewakoof orat nahi agar orat tu wesey tu fake hey account yeah,negative,sadness
meta,13051,yuvaou chahet mourya ji pradesh bhari jeet liy bahut bahut badhai dher sari shubh kamnai,positive,joy
meta,41167,kya hua upenderji kaanha khun nadi bah rahe lovi yahi hal bjp aapko 5sal mini,negative,others
meta,43079,media sahi kaam krti na sir govt januari report de deta lekin media hindu muslim,neutral,sadness
meta,33114,hahahahahahahahahahhahahahaha look talk jhoot moot k bimaar ban k bahar baithay,negative,disgust
meta,41743,best anim best superhero film ever madefavorit away cuz aint wrong,positive,joy
meta,18895,kya iss jit hindustan futur asar padn wala nahi mujh nahi lagtakyu admi nation,neutral,others
meta,27995,look forward insha allah,neutral,joy
meta,11045,tu taran adarsh mt kr,neutral,others
meta,28679,karwahi nahi rahi bar bar jan marn dhamki di ja rahi sarkar manwar yogi adith nath cm,negative,fear
meta,29288,sir mhasachiv bnaiy modi bolti band kr deng,negative,others
meta,18768,intens dear jodi thi one time love know next scene like great sto,neutral,joy
meta,30144,pradhan panauti ji south africa aapn lapet diyaugla number kiska,neutral,others
meta,25742,viswa rohit kah raha teri khopdi etn chhed kereng teri khopdi khopdi nahi,negative,anger
meta,40864,hindu aukat dikha di logo antinationalist shoot kr aazadi deni cahiy,negative,disgust
meta,37091,ppp khuda naam lo nabi naam lay cheez twist karlo saudia emir,neutral,others
meta,20445,,neutral,others
meta,20748,kab celebr ban gaya flop actor wo pehchanta nahi,negative,surprise
meta,22752,sir mai aapako aapana hero aadarsh manata hu mai aapas purna rup dudak desh hit,positive,others
meta,2848,isko chupak rakho bjp ticket na dede isko,neutral,fear
meta,26035,paresh siddiqui apn baap yakub menon nam sunkar chup gya bsdk piddi,negative,anger
meta,37848,jaishankar bhai tu jyaada akadna mattera baap minist bana tu nahiget thank,neutral,others
meta,24285,agg jhadu jappi hope make feel better,positive,joy
meta,15624,isko gay bolk tune lgbtq walo insult,negative,sadness
meta,8259,girl like echt zo n leuk nummer en dan komt opeen die schijt van cardi b sorri maar hoezo kon niemand,neutral,others
meta,8193,great job ignor ramjaan k samay pura din bhukh rakh kr,positive,others
meta,30128,lekin ganga maa bulati modi ji jaat anti nation,neutral,others
meta,21889,wajjo khann aw sweet zaror zaror inshaallah,positive,joy
meta,1366,nice see glowup peopl mayhem congrat guy wohooo bbye tire year,positive,joy
meta,24996,radhamohansingh congratul bhut bhut badhai subhkamnay,positive,joy
meta,12576,chai bechna sharm baat nahi tere jais kaamchor nithalley vellley bu pappu 7200,negative,disgust
meta,13134,lekin tumh matlb baat isliy pta nhi chlti kyoki,negative,others
meta,44556,abe nhi chor saal jeet aach kaam wajah jeet harn baari aayi,negative,anger
meta,18878,bc bakchodi seema hoti kuchh behan jaisa maan thappad maara saar bjp wale,negative,disgust
meta,27542,bro delet chutiyappainhi cancer cheezo kaaran nahi banaya account,negative,fear
meta,40622,teri loda haram kr lodeft condom pedaishsal kutt beej,negative,anger
meta,21817,pakpass bhai unk samn starc cummin coulter nile best pace bowli,positive,others
meta,13499,yadav88,neutral,others
meta,41772,log opposit kisliy tweet karn dal sashti jayegi itni haar chuki frvi samajh,negative,others
meta,30985,jai shri ram slogan hooliganismbut kashmir mei agar rehna allahoakbar kehna slogan revolut,negative,others
meta,7483,g 55 hindustan hindu muslim dusr dushman kabhi nahi polit p,positive,others
meta,36584,mina f ngimel kuthi ngibe mali knife go lento gym,neutral,others
meta,17349,najar tragic indefensiblemi love familyi wish could offer,positive,sadness
meta,4893,003 rishu aisehi log har legend bura bhala bolt yha tk k god cricket nh,negative,disgust
meta,16234,congratul jeet veri proud final engin pennenggrad ht,positive,joy
meta,33156,polic shivratan ganj thana vyavastha dekhi jaay sunwai nahi hoti sale paisa kha ba,negative,others
meta,29542,dunia gatia gatia kam liy magar kabhi wow nice post thank share wali harkat nhi,neutral,others
meta,32699,vet han wo phr agli eidi pr bheju ga na agr kamiyaab hua pr eidi tara rhi agr lora,positive,joy
meta,30721,hallo sorri thi account nonaktify follow new account alya tan pleas unfollow thank,neutral,others
meta,24649,bohat bad zaban wazeer ghatia aurat,negative,disgust
meta,25711,mamta kabhi mafi nahi melegi wo sirf maharashtra aak dikhay kutt apn,negative,anger
meta,34848,jai hind sir prashant rathor aaps request karta hoon pubg game india ban dena chah,neutral,others
meta,21488,yeh woh loog jinko nawazmafia nazar nahi ayi thi inkaay leya gaya qarza nazar nahi ata,negative,sadness
meta,32440,yehi chij lagu hoti patrakar madam sahiba ji tarah vipaksh bakhiya ud,negative,others
meta,22380,actor advanc apolog life first inspir sir thi rustic imperson sir aapkey cousin fil,positive,others
meta,5337,cuz hindi nation languag modi leader god choic,negative,sadness
meta,38175,lol 1000 saal hakumat muslim hindustan pr,negative,others
meta,5139,tuj jais kyu marega tu free entertain deta wais b congress join kiya,neutral,others
meta,36000,sookh sir veri nice,neutral,joy
meta,23760,narendra modi take oath prime minist jai hind vand mataram via,positive,others
meta,24685,group bany jaha local peopl add taki har crime najar har jagah,neutral,others
meta,10263,iss kunal itn bhav mat dokuch log apni aukat jyada uchhalt hainbett ignor,neutral,others
meta,19763,wo leay nawaz nay paisa nahi diaab jald ban jaegi inshaallah,positive,others
meta,38074,bro salman khan mazak kr rha media wrong news de rhi u,positive,others
meta,41950,shrrehman bohemia say tera pyaar baki duniya beqaar felt,neutral,sadness
meta,4220,congress spokesperson tv debat battamiji kart unko nahi roka gaya haar baad jawab den,neutral,sadness
meta,2238,chub kutt awlaadter baap nahi sale indiatu ja nepal ag,negative,anger
meta,35909,bologuruji bass ekhi sawaal humesha puchta hu lakin pick kabhi nahi hoti umid aaj pic,neutral,others
